10, 5.505101818181819E-4
11, 9.73739090909091E-5
12, 1.0830363636363637E-5
13, 9.029336363636363E-5
14, 6.8939090909090916E-6
15, 7.601545454545455E-6
16, 7.165272727272727E-6
17, 7.5541818181818185E-6
18, 1.8248118181818184E-4
19, 4.823636363636364E-6
20, 3.886363636363637E-6
21, 4.569454545454546E-6
22, 4.16509090909091E-6
23, 4.316272727272728E-6
24, 5.021272727272727E-6
25, 3.6632727272727272E-6
26, 7.525000000000001E-6
27, 3.833545454545455E-6
28, 8.038472727272728E-5
29, 4.994909090909091E-6
30, 4.712545454545455E-6
31, 5.255272727272728E-6
32, 4.43009090909091E-6
33, 4.707E-6
34, 4.370909090909091E-6
35, 5.163272727272728E-6
36, 4.758000000000001E-6
37, 4.811818181818182E-6
38, 5.626909090909092E-6
39, 6.472072727272727E-5
40, 5.800909090909091E-6
41, 5.8500909090909096E-6
42, 5.913909090909091E-6
43, 5.388272727272727E-6
44, 6.554509090909091E-5
45, 5.637909090909091E-6
46, 5.590545454545455E-6
47, 5.69609090909091E-6
48, 5.7285909090909096E-5
49, 6.052272727272728E-6
50, 5.78E-6
51, 9.495181818181819E-6
52, 6.420272727272728E-6
53, 6.905727272727273E-6
54, 6.138818181818182E-6
55, 7.843000000000001E-6
56, 6.970363636363637E-6
57, 6.577818181818183E-6
58, 6.670727272727273E-6
59, 6.766363636363637E-6
60, 6.951272727272727E-6
61, 7.491363636363637E-6
62, 7.143363636363637E-6
63, 7.3501818181818184E-6
64, 1.115579090909091E-4
65, 7.61609090909091E-6
66, 7.2527272727272725E-6
67, 7.813818181818182E-6
68, 8.384818181818183E-6
69, 8.15809090909091E-6
70, 1.8908272727272727E-5
71, 8.13709090909091E-6
72, 8.445909090909091E-6
73, 8.950454545454547E-6
74, 8.384E-6
75, 1.2010818181818183E-5
76, 8.898545454545455E-6
77, 8.635363636363636E-6
78, 8.635363636363636E-6
79, 8.804727272727273E-6
80, 8.942272727272728E-6
81, 9.224636363636364E-6
82, 8.360527272727273E-5
83, 1.082118181818182E-5
84, 9.664454545454545E-6
85, 9.561545454545455E-6
86, 9.534272727272727E-6
87, 1.3584636363636364E-5
88, 9.925E-6
89, 1.0422363636363638E-5
90, 9.890363636363637E-6
91, 1.0112636363636364E-5
92, 1.279409090909091E-5
93, 1.061809090909091E-5
94, 1.1461545454545456E-5
95, 1.1875000000000002E-5
96, 1.0682818181818183E-5
97, 1.0829454545454547E-5
98, 1.1009727272727273E-5
99, 1.0989727272727273E-5
100, 1.0914181818181819E-5
101, 1.1442454545454547E-5
102, 3.8707272727272725E-5
103, 1.1387727272727274E-5
104, 1.175390909090909E-5
105, 1.2397818181818183E-5
106, 1.2348636363636365E-5
107, 1.3822363636363636E-5
108, 1.1889636363636364E-5
109, 1.3519000000000002E-5
110, 1.2838727272727274E-5
111, 1.3152909090909092E-5
112, 1.3203909090909092E-5
113, 1.404190909090909E-5
114, 1.3268636363636366E-5
115, 1.3117454545454547E-5
116, 1.3392454545454546E-5
117, 1.613218181818182E-5
118, 1.351809090909091E-5
119, 1.8430090909090912E-5
120, 1.3990818181818183E-5
121, 1.3495454545454546E-5
122, 1.6135818181818185E-5
123, 1.4141090909090911E-5
124, 1.3802363636363636E-5
125, 1.4384272727272728E-5
126, 1.4316000000000002E-5
127, 2.1261818181818183E-5
128, 1.7894545454545455E-5
129, 1.5118454545454547E-5
130, 1.5000909090909092E-5
131, 1.8829909090909094E-5
132, 1.673509090909091E-5
133, 2.1477636363636365E-5
134, 1.537981818181818E-5
135, 1.560209090909091E-5
136, 1.5543818181818185E-5
137, 4.965790909090909E-5
138, 1.973709090909091E-5
139, 1.6984636363636366E-5
140, 9.376709090909091E-5
141, 2.886790909090909E-5
142, 1.591990909090909E-5
143, 1.6230454545454548E-5
144, 1.7825363636363638E-5
145, 1.627518181818182E-5
146, 1.677609090909091E-5
147, 1.6639454545454547E-5
148, 1.689627272727273E-5
149, 1.9562272727272728E-5
150, 1.7742454545454546E-5
151, 1.772418181818182E-5
152, 1.9918363636363637E-5
153, 1.7573E-5
154, 1.769509090909091E-5
155, 1.8211454545454548E-5
156, 1.7697818181818185E-5
157, 2.089109090909091E-5
158, 1.8088545454545457E-5
159, 1.8385454545454547E-5
160, 1.8476545454545457E-5
161, 2.049390909090909E-5
162, 1.898927272727273E-5
163, 1.8903636363636365E-5
164, 2.0541363636363637E-5
165, 2.3100636363636363E-5
166, 1.9160545454545456E-5
167, 1.9652454545454547E-5
168, 3.626545454545455E-5
169, 1.984727272727273E-5
170, 2.1091454545454548E-5
171, 2.3495090909090912E-5
172, 2.4744727272727276E-5
173, 2.075718181818182E-5
174, 2.2471363636363638E-5
175, 2.0337272727272727E-5
176, 2.2363000000000003E-5
177, 2.0752636363636364E-5
178, 2.191845454545455E-5
179, 2.0895636363636366E-5
180, 2.1055090909090908E-5
181, 2.089018181818182E-5
182, 2.176727272727273E-5
183, 2.133827272727273E-5
184, 2.345045454545455E-5
185, 4.500818181818182E-5
186, 8.114163636363636E-5
187, 2.4063363636363635E-5
188, 2.3004181818181816E-5
189, 2.2213636363636362E-5
190, 2.3824727272727275E-5
191, 2.3366636363636363E-5
192, 2.3028727272727274E-5
193, 2.6622727272727278E-5
194, 2.2914909090909093E-5
195, 2.344127272727273E-5
196, 2.3632545454545456E-5
197, 2.5530727272727272E-5
198, 2.459354545454546E-5
199, 2.846718181818182E-5
200, 2.575836363636364E-5
201, 2.3986909090909092E-5
202, 2.4611727272727276E-5
203, 2.3891272727272727E-5
204, 2.4912272727272726E-5
205, 2.416809090909091E-5
206, 2.3740000000000003E-5
207, 2.7776727272727277E-5
208, 3.522163636363637E-5
209, 2.4871272727272728E-5
210, 2.7551818181818182E-5
211, 2.5919636363636367E-5
212, 2.6284000000000004E-5
213, 3.0779727272727275E-5
214, 2.596609090909091E-5
215, 2.689336363636364E-5
216, 2.8636545454545458E-5
217, 2.678027272727273E-5
218, 2.738327272727273E-5
219, 2.1122454545454548E-5
220, 1.2269363636363638E-5
221, 1.1934272727272728E-5
222, 1.1560818181818182E-5
223, 1.2945181818181818E-5
224, 1.2730272727272728E-5
225, 1.1457000000000002E-5
