50, 9.67
100, 12.3
150, 13.65
200, 14.87
250, 15.49
300, 16.27
350, 17.09
400, 17.43
450, 18.1
500, 18.39
550, 18.76
600, 19.12
650, 19.22
700, 19.23
750, 19.75
800, 20.15
850, 20.57
900, 20.37
950, 21.0
1000, 21.01
1050, 20.94
1100, 21.65
1150, 21.4
1200, 21.77
1250, 21.66
1300, 22.1
1350, 22.29
1400, 22.58
1450, 22.94
1500, 22.06
1550, 23.03
1600, 22.7
1650, 22.83
1700, 23.11
1750, 23.32
1800, 23.72
1850, 23.54
1900, 24.0
1950, 23.58
2000, 23.67
2050, 23.76
2100, 24.52
2150, 24.06
2200, 24.1
2250, 24.04
2300, 24.38
2350, 24.37
2400, 24.65
2450, 24.42
2500, 24.32
2550, 24.85
2600, 25.19
2650, 24.49
2700, 24.94
2750, 24.96
2800, 25.26
2850, 25.41
2900, 25.05
2950, 25.35
3000, 25.71
3050, 25.61
3100, 25.82
3150, 25.86
3200, 25.6
3250, 25.87
3300, 25.89
3350, 26.1
3400, 25.74
3450, 26.0
3500, 25.7
3550, 25.66
3600, 26.14
3650, 26.19
3700, 26.02
3750, 26.36
3800, 26.37
3850, 26.3
3900, 26.71
3950, 26.3
4000, 26.57
4050, 26.39
4100, 26.77
4150, 26.73
4200, 26.69
4250, 26.81
4300, 26.75
4350, 27.45
4400, 26.96
4450, 26.77
4500, 26.79
4550, 27.33
4600, 27.17
4650, 26.88
4700, 27.13
4750, 27.21
4800, 27.17
4850, 27.25
4900, 27.59
4950, 27.93
5000, 27.55
